NOMBRE,TIPO,ESTADO,DEPARTAMENTO-CIUDAD,INFORMACION,CONTRATISTA,EXTENSION,LOCALIDADES,INICIO,FIN,PLAZO,AVANCE,FINANCIACION,INVERSION
Puente de Hormigón Armado,Puente de Hormigón Armado,FINALIZADA,San Pedro - Guayaibí,"Puente de Hormigón Armado
Construcción de Puente de HºAº en el tramo Luz Bella – Maracaná sobre el Rio Curuguaty'y",MOPC,"60,85 metros",Luz Bella – Maracaná,"Mié, 01 Enero 2014","Vie, 03 Octubre 2014",8,100%,Fondo Local,Gs. 2.190.600.000
Pavimentación tipo empedrado En El tramo: Ita - Nueva Italia.,Pavimentación Asfáltica,FINALIZADA,Central - Nueva Italia,Pavimentación tipo empedrado En El tramo: Ita - Nueva Italia. (Grupo 2),Miguel Ángel Chávez,12,Ita - Nueva Italia,"Lun, 07 Enero 2013","Jue, 18 Febrero 2016",,100%,Fondo Local,Gs. 14.007.450.404
Construcción de Puente de HºAº en el tramo Ruta Nº 7,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Construcción de Puente de HºAº en el tramo Ruta Nº 7 – 3 de Mayo – Potrero Guayaki sobre el Aº. Segundo (Santa Fe),MOPC,10 metros,Colonia 3 de Mayo - Potrero Guayakí,"Jue, 20 Febrero 2014","Jue, 31 Julio 2014",5,100%,Fondo Local,Gs. 170.093.365
Pavimentación tipo empedrado Ybytymi - La Colmena.,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Paraguarí - Ybytymí,Pavimentación tipo empedrado Ybytymi - La Colmena. (Grupo 2),Consorcio Victoria,21.45,Ybytymi - La Colmena,"Mié, 09 Enero 2013","Mié, 12 Octubre 2016",,97%,Fondo Local,Gs. 31.293.850.290
Construcción de Puente de HºAº en el tramo Ruta Nº 7 – Cantera Boca – 3ra. Línea sobre el Aº. Yeruti,Puente de Hormigón Armado,FINALIZADA,Caaguazú - Caaguazú,"Construcción, via administrativa por el Departamento de Puentes y O. A., de un puente mixto de Ho Ao y muros de piedra bruta colocada, en substitución de un puente mixto, superestructura de madera sobre muros de piedra bruta que se encontraba prácticamente colapsado.
El nuevo puente tiene una longitud de 10,00m, un ancho de 5,40m y 4,00m de altura, con fundación directa en lecho rocoso.
Terminación: febrero/2015",MOPC,10 metros,Caaguazú - Colonia Cantera Boca,"Lun, 10 Febrero 2014","Jue, 31 Julio 2014",6,0%,Fondo Local,Gs. 234.689.488
Pavimentación tipo empedrado Pirayú - Paraguarí.,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Paraguarí - Pirayú,Pavimentación tipo empedrado Pirayú - Paraguarí. (Grupo 2),Consorcio B&B Asociados,21 kms.,Pirayú - Paraguarí,"Lun, 07 Enero 2013","Vie, 20 Enero 2017",,96%,Fondo Local,Gs. 30.437.690.257
Construcción de Puente de HºAº en el tramo Abaí – Tuparenda sobre el Aº. Ita,Puente de Hormigón Armado,FINALIZADA,Caazapá - Abaí,"Puente construido vía administrativa por el Departamento de Puentes y O. A.,con fundación de tubulones, pilares y vigas de apoyo de Ho Ao, vigas pretensadas, prelosas, placas de defensa y barandas prefabricadas; losas, guardarruedas y pantallas de Ho Ao in situ.
Longitud: 12m Ancho: 9,00m
Terminado en: septiembre/2015",MOPC,12 mts,Abaí - Tuparendá,"Mar, 26 Agosto 2014","Dom, 22 Febrero 2015",18,100%,Fondo Local,Gs. 677.263.335
Puente de Hormigón Armado,Puente de Hormigón Armado,FINALIZADA,Central - Itauguá,"Construcción de Puente de HºAº en el tramo Distrito de Itauguá (Zona Norte) sobre el Aº. Yukyrymi.
Puente construido con convenio con la municipalidad de Itaugua, quienes construyeron la infraestructura con tubulones y viga cabezal de Hormigón Armado, y muros de piedra bruta colocada.
El Departamento de Puentes y O. A. se encargó de la superestructura, con vigas pretensadas de hormigón armado , losa y guardarruedas de hormigón armado in situ y barandas prefabricadas.
Long.= 8m A=5.4m",MOPC,8,Itauguá,"Vie, 05 Diciembre 2014","Jue, 29 Enero 2015",2,100%,Fondo Local,Gs. 96.073.490
Pavimentación tipo empedrado del tramo Colonia Regina Marecos - Cleto Romero.,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Cordillera - Juan de Mena,Pavimentación tipo empedrado del tramo Colonia Regina Marecos - Cleto Romero. (Grupo 3),Consorcio Vielk,22.82 kms,Juan de Mena,"Lun, 07 Enero 2013","Mar, 20 Diciembre 2016",,71%,Fondo Local,Gs. 48.465.841.097
Pavimentación tipo empedrado del tramo Unión - Empalme Ruta 3.,Pavimentación Asfáltica,FINALIZADA,San Pedro - San Estanislao,Pavimentación tipo empedrado del tramo Unión - Empalme Ruta 3. (Grupo 3),CIV S.A.,15,Unión - San Estanislao,"Lun, 07 Enero 2013","Mar, 11 Agosto 2015",,0%,Fondo Local,Gs. 13.022.531.433
Pavimentación de tramos alimentadores de la Red Vial Nacional.,Pavimentación Asfáltica,FINALIZADA,Central - San Lorenzo,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 1. Lote 1
Tramos incluidos en el contrato:
Capiatá Ruta Nº 2 Km 21 – Posta Ybycuá Ruta Nº 1 Km 20: Long. 45,5 km.Posta Ybycuá Ruta Nº 1 Km 20 - Col. Thompson: Long. 9 km.Ruta Nº 1 (J. Augusto Saldívar) - Rosado Guasu: Long. 5,5 km.Itá (Ruta Nº 1 Km 34) – Compañía Aveiro – Hospital Nacional: Long. 6 km.Ypané (Potrerito) - Guarambaré: Long. 1,8 km.Reducto (Cuartel de la Victoria-Empalme ruta San Lorenzo) – Ñemby: Long. 2,5 km.Pirayú-Azcurra-Caacupé: Long. 16,2 km.Total: 45,5 km.",DC Ingeniería S.A.,"45,5 kms.",Capaitá - J. Augusto Saldivar - Itá - Ypané - Guarambaré - San Lorenzo – Ñemby - Pirayú-Azcurra-Caacupé,"Vie, 26 Diciembre 2014","Dom, 23 Agosto 2015",6,100%,Fondo Local,Gs. 33.688.031.275
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 1. Lote 2,Pavimentación Asfáltica,FINALIZADA,Central - Luque,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 1. Lote 2
Tramos incluidos en el contrato:
Yuquyty - Costa Fleitas (Empalme Ruta Areguá-Capiatá): Long. 8 km.
Ruta Nº 2 (Km 18) - Luque (Por Paso Sana): Long. 12 km.
Altos – Atyrá: Long. 9,2 km.
Pedrozo (Ruta Nº 2 Km 45)-Cñía Pirayuí – San Bernardino: Long. 9,4 km.
Luque – Limpio – Cía. Isla Aranda – Empalme Ruta Luque - San Bernardino: Long. 6 km.
Calle América (Luque – Autopista): Long. 4 km.
Total 48,6 Kms.",Talavera Ortellado Construcciones S.A. (T.O.C. S.A.),"48,6 Kms.",Areguá - Capiatá - Luque - Altos – Atyrá - Pedrozo - Pirayú - San Bernardino,"Vie, 19 Diciembre 2014","Lun, 14 Diciembre 2015",6,100%,Fondo Local,Gs. 41.522.780.019
"Construcción de la Ampliación de la Ruta Nº 3 Gral. Elizardo Aquino, Tramo: Mariano Roque Alonso – Limpio (Duplicación)",Pavimentación Asfáltica,EN CONSTRUCCIÓN,Central - Limpio,"Construcción de la Ampliación de la Ruta Nº 3 Gral. Elizardo Aquino, Tramo: Mariano Roque Alonso – Limpio (Duplicación)
La longitud de la obra es de 11 km, dividido en tres secciones: ampliación Ruta 3, tramo Mariano Roque Alonso Limpio = 5.3 km; circunvalación de la ciudad de Limpio = 5.1 km y el mejoramiento de tramo el centro urbano de Limpio = 0,6 km.",Consorcio D-R,"11,5 Kms.",Mariano Roque Alonso – Limpio,"Mié, 31 Diciembre 2014","Sáb, 19 Agosto 2017",32,95%,Fondo Local,Gs. 182.999.373.356
Pavimentación tipo empedrado del tramo Tobati - Monte Alto,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Cordillera - Tobatí,Pavimentación tipo empedrado del tramo Tobati - Monte Alto.,Corporación Constructiva S.A.,6 kms,Tobati - Atyra,"Lun, 08 Abril 2013","Vie, 11 Noviembre 2016",,72%,Fondo Local,Gs. 14.067.076.688
Rehabilitación y Pavimentación del tramo Acceso a la ciudad de Nanawa,Pavimentación Asfáltica,FINALIZADA,Presidente Hayes - Nanawa,Rehabilitación y Pavimentación del tramo Acceso a la ciudad de Nanawa.,DC Ingeniería S.A.,5 kms,Nanawa,"Mié, 23 Enero 2013","Mar, 17 Junio 2014",,100%,Fondo Local,Gs. 14.448.908.549
Pavimentación tipo empedrado del tramo Santa Rita - San Ignacio.,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Misiones - San Ignacio,Pavimentación tipo empedrado del tramo Santa Rita - San Ignacio.,Consorcio Nacional Misionero,24.60 kms.,San Ignacio,"Lun, 07 Enero 2013","Vie, 07 Octubre 2016",,98%,Fondo Local,Gs. 27.282.855.745
Pavimentación tipo empedrado del tramo Yabebyry - Santa Rita.,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Misiones - Yabebyry,Pavimentación tipo empedrado del tramo Yabebyry - Santa Rita.,Covipa S.A.,35.50 kms.,Yabebyry - San Ignacio,"Lun, 07 Enero 2013","Sáb, 14 Enero 2017",,66%,Fondo Local,Gs. 44.724.775.401
"Construccion de Obras de Caminos Vecinales en los Departamentos de Itapua, Alto Parana, Canindeyú y Amambay",Ripio / Empedrado,EN CONSTRUCCIÓN,Canindeyú - La Paloma,"Construccion de Obras de Caminos Vecinales en los Departamentos de Itapua, Alto Parana, Canindeyú y Amambay
Lote 5: Canindeyu – Tramo 5.02.1 – Ruta 10 – Guadalupe (Longitud 23,81) y Tramo 5.02.2 – Colonia Guadalupe – Camino 3 (Longitud 4,54): Consorcio Victoria (Taivo Construcciones S.A.-Constructa S.A.), por Gs. 16.877.632.430.",Consorcio Victoria,"28,35 Kms.",La Paloma - Colonia Guadalupe 02/02/2015 17/02/2017,"Lun, 02 Febrero 2015","Vie, 30 Marzo 2018",37,98%,Fondo Local,Gs. 19.550.842.992
Pavimentación tipo empedrado del tramo San Solano - Fleitas Cué.,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Itapúa - San Pedro del Paraná,Pavimentación tipo empedrado del tramo San Solano - Fleitas Cué.,EDB Construcciones,27.56,San Pedro del Paraná,"Lun, 07 Enero 2013","Lun, 12 Diciembre 2016",,85%,Fondo Local,Gs. 29.246.086.248
Construccion de Obras de Caminos Vecinales en el tramo Gral. Delgado - San Dionisio - Cristo Rey - Potrero Ybate,Ripio / Empedrado,FINALIZADA,Itapúa - General Delgado,Construccion de Obras de Caminos Vecinales en el tramo Gral. Delgado - San Dionisio - Cristo Rey - Potrero Ybate,Sotec S.A.,"21,50 Kms.",Gral. Delgado - San Dionisio - Cristo Rey - Potrero Ybate,"Lun, 02 Febrero 2015","Lun, 11 Diciembre 2017",33,100%,BID,Gs. 12.900.885.097
Pavimentación tipo empedrado del tramo San Solano - Pindoyu.,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Itapúa - San Pedro del Paraná,Pavimentación tipo empedrado del tramo San Solano - Pindoyu.,Sotec S.A.,38.50,San Pedro del Paraná,"Lun, 07 Enero 2013","Sáb, 07 Enero 2017",,88%,Fondo Local,Gs. 48.251.325.483
Construccion de Obras de Caminos Vecinales en el tramo Iruña - Emp ruta Frutika - M. Otaño,Ripio / Empedrado,FINALIZADA,Itapúa - Mayor Otaño,"Construcción de obras de la muestra de Caminos
Vecinales en los Departamentos de Itapúa, Alto
Paraná, Canindeyú y Amambay. Programa Nacional
de Caminos Rurales – 2da Etapa – Fase II, Tramo
2.06 – Iruña – Empalme Ruta Frutika – Mayor Otaño.",Sotec S.A.,"28,65 kms",Iruña - Mayor Otaño - Carlos Antonio López,"Lun, 02 Febrero 2015","Mié, 06 Diciembre 2017",33,100%,BID,Gs. 18.710.298.095
Señalización Horizontal en varios tramos de la Red Vial Nacional.,Señalización Horizontal,EN CONSTRUCCIÓN,Concepción - Concepción,Señalización Horizontal en varios tramos de la Red Vial Nacional. Lote N° 2,Constructora Isacio Vallejos,727,"Concepción, San Pedro, Amambay y Canindeyú","Mar, 04 Agosto 2015","Mié, 03 Agosto 2016",,98%,Fondo Local,Gs. 13.099.999.992
Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 1),Ripio / Empedrado,EN CONSTRUCCIÓN,Alto Paraná - Minga Porá,Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 1),Covipa S.A.,"24,50 Kms.",Asentamiento Santa María,"Lun, 02 Febrero 2015","Mar, 31 Julio 2018",29,68%,BID,Gs. 13.186.790.207
Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 2),Ripio / Empedrado,EN CONSTRUCCIÓN,Alto Paraná - Minga Porá,Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 2),Covipa S.A.,"24,26 Kms.",Asentamiento Santa María,"Lun, 02 Febrero 2015","Lun, 25 Junio 2018",28,59%,BID,Gs. 12.607.907.906
Pavimentación tipo empedrado del tramo Fleitas Cué - Rio Tebicuary.,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Itapúa - Alto Verá,Pavimentación tipo empedrado del tramo Fleitas Cué - Rio Tebicuary. (Grupo 4),Consorcio Arrecife,31.90 kms,San Pedro del Paraná - Alto Verá,"Lun, 07 Enero 2013","Jue, 06 Julio 2017",,99%,Fondo Local,Gs. 55.692.542.427
Pavimentación asfáltica del tramo Alto Vera (Caronay) - Ynambu - Perlita Tanque.,Pavimentación Asfáltica,FINALIZADA,Itapúa - Alto Verá,Pavimentación asfáltica del tramo Alto Vera (Caronay) - Ynambu - Perlita Tanque.,MM S.A.,12 kms,Alto Verá,"Lun, 07 Enero 2013","Sáb, 28 Mayo 2016",,100%,Fondo Local,Gs. 22.019.029.863
"Servicios de Reparaciòn y Manteniemiento de Puentes de Madera en los Departamentos de Concepción, San Pedro y Canindeyú, convocado por la Direcciòn de Caminos Vecinales del MOPC",Reparación y Mantenimiento de Puente,FINALIZADA,San Pedro - Capiibary,"Llamado MOPC 02-15 - Servicios de Reparaciòn y Manteniemiento de Puentes de Madera en los Departamentos de Concepción, San Pedro y Canindeyú, convocado por la Direcciòn de Caminos Vecinales del MOPC",Abatte y Asociados Constructora,90,Concepción - San Pedro - Canindeyú,"Mié, 08 Julio 2015","Sáb, 02 Julio 2016",12,0%,Fondo Local,Gs. 1.200.000.000
